"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALGRAD","TOT","100000HAB","A","1980",9.33,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1981",8.56,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1982",8.59,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1983",8.91,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1984",8.9,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1985",8.84,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1986",8.61,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1987",8.15,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1988",8,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1989",7.41,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1990",6.2,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1991",7.04,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1992",6.5,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1993",7.38,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1994",7.41,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1995",7.64,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1996",8.1,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1997",7.47,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1998",7.29,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1999",7.42,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2000",7.36,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2001",7.01,"B"
"AUS","MEDICALGRAD","TOT","100000HAB","A","2002",7.27,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2003",8.34,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2004",8.69,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2005",8.91,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2006",9.21,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2007",10.16,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2008",11.24,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2009",10.88,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2010",12.08,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2011",13.48,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2012",13.98,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2013",15.45,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2014",15.31,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2015",15.75,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2016",15.95,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2017",15.45,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2018",15.84,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2019",15.86,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1981",14.93,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1982",18.1,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1983",19.16,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1984",20.31,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1985",22.26,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1986",19.96,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1987",20.38,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1988",21.07,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1989",20.01,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1990",19.46,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1991",18.3,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1992",16.08,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1993",15,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1994",14.26,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1995",13.99,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1996",13.05,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1997",13.83,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1998",13.45,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1999",15.87,"B"
"AUT","MEDICALGRAD","TOT","100000HAB","A","2000",14.19,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2001",18.58,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2002",12.79,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2003",21.88,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2004",18.59,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2005",19.99,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2006",18.98,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2007",17.55,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2008",22.05,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2009",21.74,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2010",20.64,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2011",17.47,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2012",16.76,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2013",13.8,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2014",14.73,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2015",14.52,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2016",13.94,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2017",14.19,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2018",15.23,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2019",13.99,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1994",9.85,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1995",10.58,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1996",11.32,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1997",11.65,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1998",10.55,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1999",11.14,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2000",10.14,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2001",11.13,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2002",10.22,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2003",11.5,
